numero	radicales	case2	page	traductions_de_la_racine
0036	ء س م ع ل	12	244	Racine double : S M ' = entendre, écouter, et 'îl = Dieu présent dans Sa manifestation
0037	ء س ن	1	244	Etre gâté, pollué, altéré, croupi, sentir mauvais
0038	ء س و	3	244	Soigner, guérir, consoler, aider, recommander, rétablir dans son état normal
0039	ء س ي	3	244	1/ Laisser — 2/ s'affliger, être affligé, peiné, triste, éprouver de la peine
0040	ء ش ر	2	244	1/ Scier, couper, affiler, denteler — 2/ briller par éclats, être très vif et gai
0041	ء ص ر	3	245	Lier ou attacher avec une corde, comprimer, serrer, briser, rassembler, rapprocher
0042	ء ص ل	10	245	Atteindre la racine, être enraciné, être ferme
0043	ء ف ف	3	245	S'écrier « ouf ! » de douleur, de dégoût, d'horreur, saleté
0044	ء ف ق	3	245	Tanner, assouplir le cuir, être supérieur à, vaincre qqn, avoir le dessus sur qqn, voyager
0045	ء ف ك	30	245	Renverser, retourner, détourner qqn de qqch, contrefaire, dénaturer, mettre le haut en bas, intervertir, déformer, falsifier, mentir, forger, frustrer, fausser, pervertir
0046	ء ف ل	4	246	Se coucher, disparaître à l'horizon, décliner, (se) tarir
0047	ء ك ل	109	246	Manger, ronger, dévorer, consumer, être usé — idée de consumer, de dilapider
0048	ء ل ت	1	247	Léser qqn, éloigner, écarter, retenir, accuser faussement, frauder, forcer qqn, contenir qqn
0049	ء ل ر	5	247	Alif - Lâm - Râ' - trois lettres isolées, inaugurant 5 sourates
0050	ء ل ف	22	247	S'habituer, apprivoiser, joindre, réunir, rassembler, composer
0051	ء ل ل	2	247	Etre mis en mouvement, trembler, tendre rapidement, écarter, transpercer, piquer un habit, murmurer
0052	ء ل م	81	248	1/ Alif – Lâm - Mîm - lettres inaugurales de 6 sourates — 2/ Eprouver une douleur, souffrir, avoir mal
0053	ء ل م ر	1	248	Alif - Lâm - Mîm - Râ' - Lettres isolées inaugurant une sourate (la 13ème)
0054	ء ل م ص	1	248	Alif - Lâm - Mîm - Sâd - Lettres isolées inaugurant la 7ème sourate
0055	ء ل ه	2697	248	Racine formant les noms Allâh et Ilâh - Adorer en tant que Dieu (ou dieu) - être dans la stupéfaction - se sauver, se réfugier – protéger
0056	ء ل ه م	5	249	Ensemble de lettres formant l'interjection Allâhumma !, ô Allâh !
0057	ء ل و	3	249	Faire défaut, être impuissant, abandonner, faillir, manquer, laisser
0058	ء ل ي س	3	249	Lettres formant le nom propre 'Ilyâs = Elie, ou 'Il-Yâsîn = les familiers de Yâsîn
0059	ء ل ي	34	249	Notion de protubérance, d'excroissance, d'augmentation, de faveur. Avoir de grosses fesses, avoir la queue grasse
0213	ث و ي	14	300	Faire halte, s'installer quelque part, s'arrêter, se reposer
0214	ث ي ب	1	300	Idée de quitter son conjoint, de vivre seul
0215	ج ء ر	3	301	Mugir, braire, supplier, implorer, clamer, gronder, vociférer, hurler
0216	ج ب ب	2	301	Couper, retrancher, tailler
0217	ج ب ت	1	301	Idée d'influence ou de pouvoir magique, du monde intermédiaire
0218	ج ب ر	10	301	Idée de rétablir un ordre avec contrainte – remettre (un os cassé), rétablir, forcer, restaurer, remettre en bon état, selon une norme
0219	ج ب ر-ء ل	3	301	Nom propre composé de jabr (voir 0218) et de îl, Dieu dans Sa Manifestation (voir 0055) — Gabriel
0298	ح ج ر	21	324	Idée de cacher, de couvrir, de clôture - Empêcher d'approcher, interdire l'accès, interdire, mettre un obstacle
0299	ح ج ز	2	324	Faire agenouiller un chameau, cacher, renfermer, retenir, repousser, contenir, empêcher d'approcher, éprouver une grande soif
0300	ح د ب	1	324	Etre convexe, bombé, bossu
0301	ح د ث	36	324	Idée d'événement nouveau - Apparaître, surgir, commencer, avoir lieu, advenir, arriver, être neuf, jeune, récent, nouveau
0302	ح د د	25	325	Aiguiser, rendre plus tranchant, être affilé, mettre une limite, assigner des limites, définir, empêcher d'approcher, contenir, retenir, refuser
0303	ح د ق	3	325	Idée de faire le tour de - Entourer, cerner, regarder fixement, ouvrir de grands yeux, discerner, être entouré de murs, d'enclos
0304	ح ذ ر	21	325	Prendre garde, chercher à éviter, se garder de, craindre, se protéger, être attentif, être vigilant, se méfier, appréhender
0305	ح ر ب	11	326	Dépouiller, piller, aiguiser, affûter pour tailler, faire la guerre, être en colère, être irrité, belliqueux
0306	ح ر ث	14	326	Labourer, cultiver, ensemencer, œuvrer
0307	ح ر ج	15	326	Idée de rétrécissement, de resserrement, de prohibition, de s'abstenir, de gêne - Etre serré, éprouver une angoisse, être défendu (comme illicite), être coupable
0308	ح ر د	1	327	Percer, perforer, se proposer, retenir, empêcher d'approcher, s'isoler, se fâcher
0309	ح ر ر	15	327	Idée de libération et de dilatation, de se donner à qqn ou qqch - Etre ou devenir libre, être affranchi, être chaud, brûlant, chauffer, avoir soif
0310	ح ر س	1	327	Garder, veiller sur, faire la garde
0311	ح ر ص	5	327	Désirer ardemment, convoiter, être avide de, être attentif, attentionné, fendre, percer, casser, déchirer
0312	ح ر ض	3	328	Traire, tirer tout le lait, se gâter, se corrompre, maigrir, dépérir, se mourir, s'abîmer, languir, désirer ardemment, être excité
0313	ح ر ف	6	328	Retourner, mettre à l'envers, détourner
0314	ح ر ق	9	328	Grincer des dents, limer, crisser, brûler, calciner, éclater
0315	ح ر ك	1	328	Se refuser à qqch., atteindre, blesser, léser, frapper, être impuissant, se mouvoir, se mettre en mouvement, s'agiter
0316	ح ر م	83	329	Eloigner, repousser, défendre, refuser, prohiber, exclure, déclarer illicite, entrer dans un mois sacré ; être sacré, inviolable, réservé, privé
0317	ح ر ي	1	329	Décroître, diminuer
0318	ح ز ب	20	329	Idée de réunion, de contiguïté - Arriver, avoir lieu, tourmenter qqn
0319	ح ز ن	42	330	Idée de tristesse
0320	ح س ب	109	330	Idée d'évaluer, d'estimer — Compter, calculer, évaluer, considérer, estimer, se figurer, suffire, être suffisant, croire, penser, imaginer, prendre pour
0321	ح س د	5	331	Jalouser, envier
0322	ح س ر	12	331	Dépouiller l'écorce, mettre à nu, ôter, enlever, apurer, nettoyer, retrancher, couper, être exténué, être découvert, se lasser ; être apaisé, fatigué, éprouver, soupirer, se lamenter
0323	ح س س	6	331	Idée de perception vive - brûler par le froid, anéantir, détruire, nettoyer, être touché, attendrir, avoir compassion, aider, écouter, sentir
0425	خ ط ط	1	362	Tracer, tirer des lignes ; écrire, tracer des caractères
0426	خ ط ف	7	362	Enlever, emporter, arracher d'un coup, ravir, marcher d'un pas rapide, priver qqn de qqch
0427	خ ط و	5	362	Faire un pas, marcher, avancer en marchant, progresser
0428	خ ف ت	3	362	Cesser de se faire entendre, cesser de parler, s'apaiser, baisser (le son), se calmer
0429	خ ف ض	4	363	Abaisser, baisser, diminuer, réduire, s'humilier
0430	خ ف ف	17	363	Paraître agile, léger, rapide ; peser peu, paraître insignifiant, diminuer, décroître, soulager, demander moins
0431	خ ف ي	34	363	Idée de faire apparaître une chose en faisant disparaître une autre : cacher, disparaître, se dérober, échapper, occulter, être ou passer inaperçu, imperceptible, être caché pour qqn
0432	خ ل د	87	364	Durer indéfiniment, perpétrer, se conserver longtemps, s'arrêter, séjourner, évoluer perpétuellement, rester pour toujours, pérenniser, être immortel
0433	خ ل ص	31	364	Idée de fin d'un processus sélectif (catharsis) — Etre tout blanc, pur, sans tache, limpide, sans mélange, non altéré, candide, sincère, exempt de, décanté
0434	خ ل ط	6	365	Mélanger, mêler, confondre, emmêler, entremêler, mixer, incorporer
0435	خ ل ع	1	365	Oter, enlever, retirer, dépouiller, destituer, renier
0436	خ ل ف	127	365	Suivre, succéder à, remplacer, venir à la suite de ; rester en arrière, être derrière, prendre qqn par derrière, se substituer à
0437	خ ل ق	251	367	Donner la mesure à, les proportions ou la norme à ; rendre égal, poli, uni, lisse ; prendre la mesure (sans couper) ; produire, faire, provoquer, être usé, râpé ; être d'un bon naturel, avoir bon caractère - idée d'imprégnation, forger ou fabriquer de toutes pièces, créer, composer
0438	خ ل ل	13	367	Fendre, diminuer, décroître, maigrir, devenir pauvre, percer, transpercer, pénétrer dans l'intérieur, compénétrer, être intime de
0527	ذ ي ع	1	394	Répandre, se propager, s'ébruiter, se diffuser, devenir connu
0528	ر ء س	18	395	Frapper à la tête - Etre chef, être ou mettre à la tête de, préposer qqn, commander, diriger, présider
0529	ر ء ف	13	395	Etre clément, bienveillant, doux, conciliant, compatissant, indulgent
0530	ر ء ي	328	395	Voir, (s') apercevoir de, constater, observer, percevoir, remarquer, considérer, estimer, juger, penser, ressentir, sentir, connaître, reconnaître, croire, avoir telle opinion, regarder comme tel, voir en songe, avoir une vision
0531	ر ب ب	863	396	Idée de maîtriser et d'éduquer - être maître, chef, seigneur ; avoir le contrôle de [...], l'autorité, rassembler, réunir, arranger, accommoder, élever, éduquer, posséd[er], propriétaire, idée de permanence, parfumer qqch
0532	ر ب ح	1	396	Gagner, réaliser des profits, prospérer, profiter, l'emporter
0533	ر ب ص	17	397	Attendre, épier une occasion, être imminent, menacer qqn, être dans l'expectative, être attentif
0534	ر ب ط	5	397	Lier, serrer, attacher, connecter, nouer, faire une ligature, fortifier, confirmer, consolider, affermir, être raffermi, être encouragé
0535	ر ب ع	22	397	Idée de quatre - avoir de l'inclination, s'arrêter dans un endroit, attendre, contenir
0578	ر ف د	2	412	Secourir, soulager, assister, aider, soutenir, venir au secours de qqn, mettre un coussin sur une monture, faire des cadeaux
0579	ر ف ر ف	1	412	Battre des ailes, voleter, voltiger, se déployer, déployer et agiter ses ailes, résonner, soutenir, produire un bruit
0580	ر ف ع	29	412	Elever, hausser, hisser, monter, gravir, relever, enlever, dresser, lever, redresser, faire remonter plus haut, surpasser, assigner un rang élevé à qqn
0581	ر ف ق	5	413	Idée liée au coude comme assistant de la main ou force active orientée - être accommodant, aider, assister, être utile à, être bienveillant, bon, doux, être compagnon de qqn
0582	ر ق ب	24	413	Observer, regarder, garder, veiller sur, surveiller, guetter, tourner le cou pour examiner, attacher par le cou, scruter, respecter, contrôler, épier, prendre en considération
0583	ر ق د	2	413	S'endormir, dormir, être couché, sommeiller, s'arrêter, être calme, être en repos, se reposer, se coucher, se relaxer, se détendre sur place, s'apaiser
0995	ع ر ج ن	1	546	Imprimer, peindre une étoffe à ramages représentant des branches sèches, frapper qqn avec des rafles desséchées de dattes, teindre une étoffe
0996	ع ر ر	2	546	Etre galeux et couvert d'ulcères, salir d'ordures, être misérable, faire du mal, se comporter d'une manière ignoble, affliger qqn, déshonorer qqn, crier
0997	ع ر ش	33	546	Construire un dais, une cabane, une demeure en bois, faire un treillis, un treillage, faire halte, appuyer, faire grimper sur un treillis, faire une charpente
0998	ع ر ض	79	546	Avoir lieu, arriver, survenir, se passer, se présenter, apparaître, exposer, montrer, exhiber, proposer, aborder, représenter, saisir, appliquer, déployer, développer, mettre en vente, passer en revue, faire un échange,
0999	ع ر ف	61	547	Idée de connaître en distinguant, en prenant de la hauteur, de se répandre, de se diffuser (parfum), sentir les parfums - Connaître, apprendre, reconnaître et distinguer, discerner, savoir, avouer,
1000	ع ر م	1	548	Prendre un peu de nourriture, ronger l'écorce, traiter avec dureté, avec force, emportement, violence, faire du mal à qqn, être d'un caractère difficile ; être pétulant, perdre la tête, être dur, prendre l'air insolent
1001	ع ر و	3	548	Arriver, advenir, survenir, intervenir, s'emparer, saisir, avoir lieu, se présenter chez, se diriger vers, accéder, munir d'une anse (pour saisir qqch), être saisi d'un accès de fièvre
1002	ع ر ي	3	548	1/ Survenir, arriver à qqn, être pris au dépourvu - 2/ être nu, dépouillé de ses vêtements, être libre, exempt de qqch
1003	ع ز ب	2	549	Etre loin, éloigné, à une grande distance, s'éloigner, abandonner, échapper à la connaissance de qqn, être caché, être abandonné, être inhabité, désert, être célibataire
1004	ع ز ر	4	549	Idée de réprimander qqn pour lui conserver sa dignité - Blâmer, reprendre, aider, assister, empêcher qqn de faire qqch par respect pour sa dignité d'être humain, donner de bons principes à qqn, instruire qqn
1005	ع ز ز	120	549	1/ Etre rare et cher, précieux - 2/ être important, grave, difficile à supporter, inaccessible, paraître pénible - 3/ acquérir de la considération, de la grandeur, de l'importance, surpasser qqn en capacité, grandir dans l'estime de qqn
1006	ع ز ل	10	550	Oter, éloigner qqn, destituer, écarter, mettre qqch à part, se retirer, démettre, isoler, révoquer, pratiquer la ségrégation, séparer
1007	ع ز م	9	550	Arrêter ou entreprendre qqch après mûre résolution, se diriger irrévocablement vers, (se) décider, se résoudre à qqch, se déterminer, décréter, se proposer fermement, être inébranlable dans sa décision, avoir une forte aspiration, exécuter une résolution avec énergie, adjurer qqn, engager à faire qqch, projeter, se promettre de, se proposer de faire
1008	ع ز و	1	550	Se dire venir d'Untel, faire remonter sa généalogie à Untel, imputer, incriminer, accuser, rapporter, attribuer, assigner, prétendre appartenir à, supporter avec patience, se consoler
1009	ع س ر	12	551	Presser son débiteur pour le payement d'une dette, être difficile, sévère, ardu, pénible, critique, dur à supporter, être dans l'embarras, dans la gêne, dans la peine, être avare, tenace, être gaucher, venir du côté gauche
1010	ع س ع س	1	551	Rôder la nuit, survenir et tout envahir, se dérouler, se communiquer, s'enfuir, s'évanouir, embrouiller et rendre obscur, agiter, secouer, se propager, s'approcher de terre
1011	ع س ق	1	551	Lettres isolées inaugurant la sourate 42
1012	ع س ل	1	551	mêler qqch avec du miel, sucrer, recueillir le miel, assaisonner avec du miel
1139	ف د ي	13	594	Racheter qqn avec une rançon, rendre la liberté de qqn moyennant une contrepartie, cautionner, libérer qqn, payer la rançon de qqn, se dévouer envers qqn
1140	ف ر ت	3	594	Etre très doux, suave, avoir les facultés affaiblies (surtout intellectuelles), vivre en libertin, dans la débauche (dans un mode de vie qui parait doux)
1141	ف ر ث	1	595	Percer, crever, vider de son contenu (panier), blesser qqn au foie, se disperser, être rassasié, avoir des nausées, se disséminer
1142	ف ر ج	9	595	Fendre, pourfendre, ouvrir, élargir, entrouvrir, écarter, faire de la place, dissiper (nuage), consoler qqn, soulager, être consolé, délivré (soucis, chagrin)
1143	ف ر ح	22	595	Etre réjoui, gai, content, joyeux, épanoui, hilare, satisfait, pétulant, enjoué
1144	ف ر د	5	595	Etre seul, unique, isolé, séparé, simple, non-composé, s'isoler, se séparer, s'occuper seul de qqch
1145	ف ر د س	2	596	répandre, renverser ou jeter sur le sol, remplir entièrement qqch
1146	ف ر ر	11	596	Fuir, s'enfuir, (s')échapper, s'évader, se sauver, battre en retraite, se retirer, courir, déserter, abandonner
1147	ف ر ش	6	596	Etendre (tapis, natte), couvrir le sol, aplanir, disperser, disséminer, épandre, parsemer
1148	ف ر ض	18	596	Tailler, faire des coches, des entailles, insérer certaines règles de conduite, établir une loi, désigner, distinguer, indiquer, exiger, imposer, infliger, prescrire, obliger, enjoindre, partager, assigner qqch de permanent
1149	ف ر ط	8	597	Devancer, précéder, être supérieur à tous, arriver avant, dépasser (qqn ou qqch), envoyer un messager, négliger, agir avec négligence, franchir les limites, les bornes, l'emporter sur, vaincre, laisser échapper qqch, échapper, avoir lieu sans préméditation
1150	ف ر ع	1	597	Idée de mettre une séparation, une distance entre, gravir, descendre (une montagne, une vallée), d'où l'idée de ramification d'un arbre, d'une branche, de développement en tous sens, séparer deux combattants, contenir ou arrêter sa monture, mettre la paix, réconcilier, surpasser qqn
1151	ف ر ع ن	74	597	Cette racine peut se rattacher à la précédente
0001	ء ب ب	1	233	remuer qqch, mettre la main à qqch, désirer qqch, arranger, disposer, entreprendre, apprêter
0002	ء ب د	28	233	1/ durer, s'arrêter, subsister, continuer d'exister, 2/ devenir sauvage, s'irriter
0003	ء ب ر ه م	69	233	Sans racine verbale
0004	ء ب ق	1	233	se sauver, être fugitif, s'enfuir (esclave)
0005	ء ب ل	3	233	Se multiplier, être nombreux (chameaux), être habile à soigner (les chameaux)
